feature,lag,target,r
Precipitation,7,AQI_t+2,-0.02779120712037024
Precipitation,7,AQI_t+3,-0.02668652053062334
wind_speed,0,AQI_t+1,-0.3798310679573737
wind_speed,0,AQI_t+2,-0.3315091585098833
wind_speed,0,AQI_t+3,-0.3146546672091109
wind_speed,1,AQI_t+1,-0.3318635838914095
wind_speed,1,AQI_t+2,-0.3149115259945431
wind_speed,1,AQI_t+3,-0.30405123129948486
wind_speed,2,AQI_t+1,-0.31521039104738074
wind_speed,2,AQI_t+2,-0.30430797128597453
wind_speed,2,AQI_t+3,-0.29001778423048924
wind_speed,3,AQI_t+1,-0.3036810486997756
wind_speed,3,AQI_t+2,-0.28946858334405406
wind_speed,3,AQI_t+3,-0.27217358856387214
wind_speed,4,AQI_t+1,-0.2892728706847907
wind_speed,4,AQI_t+2,-0.27200891286301837
wind_speed,4,AQI_t+3,-0.2692305624193893
wind_speed,5,AQI_t+1,-0.272200603661603
wind_speed,5,AQI_t+2,-0.26939884581101803
wind_speed,5,AQI_t+3,-0.27208042332376464
wind_speed,6,AQI_t+1,-0.2695599367576555
wind_speed,6,AQI_t+2,-0.27222202246283544
wind_speed,6,AQI_t+3,-0.2786190220821888
wind_speed,7,AQI_t+1,-0.27268924152737933
wind_speed,7,AQI_t+2,-0.278985170158227
wind_speed,7,AQI_t+3,-0.29860217722477456
